epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,4349.2,0.93796,0.42437,0.85065,0.99957,0.99608,0.995,0.80308,0.76724,0.36978,0.83076,0.0005447,0.0005447,0.0005447
149,4377.33,0.91462,0.42225,0.84422,0.9983,0.99608,0.995,0.80409,0.76479,0.3684,0.83321,0.0005348,0.0005348,0.0005348
150,4404.59,0.9068,0.41151,0.84399,0.99831,0.99608,0.995,0.80957,0.75388,0.36541,0.83271,0.0005249,0.0005249,0.0005249
151,4434.4,0.89782,0.41481,0.83428,0.99834,0.99739,0.995,0.80899,0.76566,0.37139,0.83022,0.000515,0.000515,0.000515
152,4472.53,0.90037,0.41942,0.83239,0.99859,0.99739,0.995,0.80822,0.774,0.37386,0.83033,0.0005051,0.0005051,0.0005051
153,4506.11,0.97376,0.43973,0.84412,0.99834,0.99739,0.995,0.81527,0.74038,0.35931,0.82745,0.0004952,0.0004952,0.0004952
154,4546.03,0.94529,0.42356,0.8443,0.99837,0.99739,0.995,0.81433,0.73362,0.3615,0.82679,0.0004853,0.0004853,0.0004853
155,4586.56,0.88043,0.4145,0.83929,0.99833,0.99739,0.995,0.81414,0.73501,0.36419,0.82696,0.0004754,0.0004754,0.0004754
156,4618.4,0.86531,0.40487,0.83737,0.99833,0.99608,0.995,0.81602,0.7292,0.35868,0.82629,0.0004655,0.0004655,0.0004655
157,4649.19,0.93503,0.41516,0.84967,0.99768,0.99608,0.995,0.81467,0.73359,0.35608,0.82672,0.0004556,0.0004556,0.0004556
158,4683.6,0.93184,0.42137,0.83884,0.99828,0.99608,0.995,0.81395,0.74112,0.36116,0.82778,0.0004457,0.0004457,0.0004457
159,4715.93,0.95921,0.43059,0.84914,0.99823,0.99608,0.995,0.80736,0.7618,0.36387,0.83163,0.0004358,0.0004358,0.0004358
160,4746.9,0.88019,0.42927,0.83513,0.99825,0.99608,0.995,0.80276,0.76966,0.36325,0.83558,0.0004259,0.0004259,0.0004259
161,4775.73,0.91219,0.409,0.84561,0.99869,0.99708,0.995,0.79737,0.78587,0.3681,0.8347,0.000416,0.000416,0.000416
162,4806.75,0.8902,0.40884,0.83835,0.99869,0.99727,0.995,0.79642,0.79338,0.37097,0.83481,0.0004061,0.0004061,0.0004061
163,4837.3,0.86811,0.40801,0.83577,0.9999,0.99739,0.995,0.80199,0.76803,0.36408,0.83308,0.0003962,0.0003962,0.0003962
164,4869.17,0.92656,0.4196,0.83195,0.99815,0.99739,0.995,0.80869,0.74464,0.35837,0.83059,0.0003863,0.0003863,0.0003863
165,4897.74,0.93991,0.41925,0.85145,0.99813,0.99608,0.995,0.81223,0.73999,0.35593,0.82964,0.0003764,0.0003764,0.0003764
166,4928.07,0.87339,0.3997,0.83741,0.99826,0.99608,0.99499,0.81239,0.74847,0.35677,0.83033,0.0003665,0.0003665,0.0003665
